epoch,_Datetime_epoch_begin,_Datetime_epoch_end,_Monitor,_Trial_id,acc,error,loss,val_acc,val_error,val_loss
0,2019-02-17 03:20:06.724568,2019-02-17 03:20:09.128510,val_error,0,0.8812833333015442,0.11871666669845582,0.4175797922929128,0.9146000001907348,0.08539999980926516,0.29266787395477295
1,2019-02-17 03:20:09.212948,2019-02-17 03:20:11.397496,val_error,0,0.9183666666348775,0.08163333336512246,0.2886033660729726,0.9218000005722046,0.07819999942779543,0.2747597529411316
0,2019-02-17 03:20:11.817371,2019-02-17 03:20:12.759607,val_error,1,0.8350833333651225,0.16491666663487747,0.6397407637755076,0.917299999332428,0.082700000667572,0.2869561538696289
1,2019-02-17 03:20:12.831294,2019-02-17 03:20:13.567154,val_error,1,0.9279000000317892,0.07209999996821082,0.2549120960235596,0.9423000000953674,0.05769999990463259,0.20304156465530396
0,2019-02-17 03:20:14.160648,2019-02-17 03:20:16.335923,val_error,2,0.8830833333333333,0.11691666666666667,0.410385019103686,0.9167999995231628,0.08320000047683718,0.29576281261444093
1,2019-02-17 03:20:16.421368,2019-02-17 03:20:18.347993,val_error,2,0.9164000000317891,0.08359999996821088,0.29542048969268797,0.9210000003814697,0.07899999961853033,0.280292497253418
0,2019-02-17 03:20:18.763303,2019-02-17 03:20:19.730299,val_error,3,0.8314666666348776,0.16853333336512244,0.7297503673712412,0.9129000004768372,0.08709999952316283,0.30367330780029295
1,2019-02-17 03:20:19.804118,2019-02-17 03:20:20.565108,val_error,3,0.9186833333651224,0.08131666663487758,0.28370946648915607,0.9292999997138977,0.07070000028610235,0.24234790091514588
0,2019-02-17 03:20:20.968987,2019-02-17 03:20:23.116558,val_error,4,0.8794833333015442,0.12051666669845584,0.4153628023703893,0.9169999994277954,0.08300000057220458,0.2924317865371704
0,2019-02-17 03:20:23.564709,2019-02-17 03:20:24.710261,val_error,5,0.8566666666348776,0.14333333336512244,0.5335081633488338,0.9352999997138977,0.06470000028610234,0.22905970592498778
1,2019-02-17 03:20:24.784905,2019-02-17 03:20:25.736512,val_error,5,0.9497000000317891,0.050299999968210884,0.1797941294749578,0.9642999996185303,0.0357000003814697,0.13132106080055236
0,2019-02-17 03:20:26.344266,2019-02-17 03:20:27.568921,val_error,6,0.8472166666348775,0.1527833333651225,0.6199283767859141,0.9235999998092651,0.0764000001907349,0.2749021403312683
1,2019-02-17 03:20:27.649841,2019-02-17 03:20:28.661884,val_error,6,0.9302833333015442,0.06971666669845578,0.24769618409077326,0.9431000001907348,0.05689999980926519,0.19869315929412842
