trial_id,state,value,datetime_start,datetime_complete,activation,filters,kernel_size,strides,_Datetime_epoch_begin,_Datetime_epoch_end,_Monitor,_Trial_id,acc,error,loss,val_acc,val_error,val_loss,intermediate_values_0,intermediate_values_1
0,TrialState.COMPLETE,0.06920000038146967,2019-02-19 06:06:44.605697,2019-02-19 06:06:46.878814,relu,32,3,2,2019-02-19 06:06:46.050870,2019-02-19 06:06:46.842888,val_error,0,0.9191833333015442,0.08081666669845577,0.2843216384092967,0.9307999996185303,0.06920000038146967,0.24404987154006957,0.08549999933242802,0.06920000038146967
1,TrialState.COMPLETE,0.08200000076293945,2019-02-19 06:06:46.893719,2019-02-19 06:06:48.997517,linear,32,5,2,2019-02-19 06:06:48.232064,2019-02-19 06:06:48.960572,val_error,1,0.9096333333651225,0.09036666663487747,0.31445147525469463,0.9179999992370605,0.08200000076293945,0.28928056774139405,0.09159999952316289,0.08200000076293945
2,TrialState.PRUNED,0.08919999961853031,2019-02-19 06:06:49.010790,2019-02-19 06:06:50.608772,linear,32,5,2,2019-02-19 06:06:49.598270,2019-02-19 06:06:50.527903,val_error,2,0.83865,0.16135,0.597047034907341,0.9108000003814697,0.08919999961853031,0.3167125330924988,0.08919999961853031,
3,TrialState.COMPLETE,0.04050000066757198,2019-02-19 06:06:50.615388,2019-02-19 06:06:52.827851,relu,32,5,2,2019-02-19 06:06:52.028416,2019-02-19 06:06:52.780639,val_error,3,0.9404499999682109,0.05955000003178912,0.21034678818384805,0.959499999332428,0.04050000066757198,0.15388318490982056,0.07090000028610233,0.04050000066757198
4,TrialState.COMPLETE,0.0790000003814697,2019-02-19 06:06:52.843623,2019-02-19 06:06:56.283785,linear,32,3,1,2019-02-19 06:06:54.864812,2019-02-19 06:06:56.241756,val_error,4,0.9167333333015442,0.08326666669845584,0.29142007953325905,0.9209999996185303,0.0790000003814697,0.2778652970314026,0.08769999942779538,0.0790000003814697
5,TrialState.COMPLETE,0.05519999961853028,2019-02-19 06:06:56.293104,2019-02-19 06:06:59.065866,relu,64,3,2,2019-02-19 06:06:57.990877,2019-02-19 06:06:59.025734,val_error,5,0.9319833333333334,0.06801666666666661,0.24103783144156138,0.9448000003814697,0.05519999961853028,0.19476157341003417,0.08100000066757207,0.05519999961853028
6,TrialState.COMPLETE,0.07890000019073484,2019-02-19 06:06:59.082563,2019-02-19 06:07:02.308661,linear,32,5,1,2019-02-19 06:07:00.991407,2019-02-19 06:07:02.266082,val_error,6,0.9157499999682108,0.08425000003178917,0.2961645344257355,0.9210999998092652,0.07890000019073484,0.27837036867141723,0.08439999971389767,0.07890000019073484
7,TrialState.PRUNED,0.07580000028610234,2019-02-19 06:07:02.328779,2019-02-19 06:07:03.998353,relu,32,5,2,2019-02-19 06:07:02.951822,2019-02-19 06:07:03.906682,val_error,7,0.8503166666348775,0.14968333336512252,0.6146504272460938,0.9241999997138977,0.07580000028610234,0.2686162087917328,0.07580000028610234,
8,TrialState.PRUNED,0.08500000076293945,2019-02-19 06:07:04.006741,2019-02-19 06:07:05.464666,relu,32,3,2,2019-02-19 06:07:04.374319,2019-02-19 06:07:05.380532,val_error,8,0.8371166666984559,0.16288333330154414,0.6899215253432591,0.9149999992370605,0.08500000076293945,0.29754202251434325,0.08500000076293945,
9,TrialState.PRUNED,0.08460000057220463,2019-02-19 06:07:05.470226,2019-02-19 06:07:07.410353,linear,32,5,1,2019-02-19 06:07:05.818619,2019-02-19 06:07:07.321209,val_error,9,0.8763166666984558,0.12368333330154424,0.43705504468282064,0.9153999994277954,0.08460000057220463,0.3020474988937378,0.08460000057220463,
10,TrialState.COMPLETE,0.028499999809265097,2019-02-19 06:07:07.416288,2019-02-19 06:07:13.461692,relu,64,3,1,2019-02-19 06:07:10.785835,2019-02-19 06:07:13.409079,val_error,10,0.9621999999682108,0.03780000003178918,0.13531158682902655,0.9715000001907349,0.028499999809265097,0.09955044884681702,0.054200000667572024,0.028499999809265097
11,TrialState.PRUNED,0.07860000019073488,2019-02-19 06:07:13.479797,2019-02-19 06:07:15.445691,relu,64,3,2,2019-02-19 06:07:14.093941,2019-02-19 06:07:15.356641,val_error,11,0.8498333333015442,0.1501666666984558,0.6177773604234059,0.9213999998092651,0.07860000019073488,0.27616790895462034,0.07860000019073488,
12,TrialState.PRUNED,0.08300000066757207,2019-02-19 06:07:15.452166,2019-02-19 06:07:17.482529,linear,32,3,1,2019-02-19 06:07:15.806852,2019-02-19 06:07:17.391179,val_error,12,0.8786666666984558,0.12133333330154417,0.4422325123866399,0.9169999993324279,0.08300000066757207,0.2940520590782166,0.08300000066757207,
13,TrialState.COMPLETE,0.037800000095367436,2019-02-19 06:07:17.488951,2019-02-19 06:07:21.316173,relu,32,3,1,2019-02-19 06:07:19.716363,2019-02-19 06:07:21.272772,val_error,13,0.9478,0.052200000000000024,0.1881092008948326,0.9621999999046326,0.037800000095367436,0.1388523899078369,0.06559999990463261,0.037800000095367436
14,TrialState.PRUNED,0.08439999933242803,2019-02-19 06:07:21.335022,2019-02-19 06:07:23.285663,relu,64,3,2,2019-02-19 06:07:21.955697,2019-02-19 06:07:23.195534,val_error,14,0.8530166666984558,0.14698333330154423,0.5896293327649434,0.915600000667572,0.08439999933242803,0.29262946014404295,0.08439999933242803,
15,TrialState.COMPLETE,0.08110000076293944,2019-02-19 06:07:23.291737,2019-02-19 06:07:25.467012,linear,32,3,2,2019-02-19 06:07:24.688799,2019-02-19 06:07:25.430165,val_error,15,0.9104666666666666,0.08953333333333335,0.31236362484296165,0.9188999992370606,0.08110000076293944,0.29356215238571165,0.09089999942779536,0.08110000076293944
16,TrialState.PRUNED,0.08710000066757206,2019-02-19 06:07:25.485937,2019-02-19 06:07:27.436093,linear,32,5,1,2019-02-19 06:07:25.860586,2019-02-19 06:07:27.347376,val_error,16,0.8781833333333333,0.12181666666666668,0.43671775908470156,0.9128999993324279,0.08710000066757206,0.3006418182849884,0.08710000066757206,
17,TrialState.COMPLETE,0.021799999332427933,2019-02-19 06:07:27.444875,2019-02-19 06:07:32.790623,relu,64,5,1,2019-02-19 06:07:30.417810,2019-02-19 06:07:32.740781,val_error,17,0.9721000000317891,0.02789999996821091,0.10101480204264322,0.9782000006675721,0.021799999332427933,0.0700493802189827,0.033299999999999996,0.021799999332427933
18,TrialState.COMPLETE,0.07650000047683714,2019-02-19 06:07:32.809146,2019-02-19 06:07:38.117797,linear,64,3,1,2019-02-19 06:07:35.769239,2019-02-19 06:07:38.065711,val_error,18,0.9182666666984558,0.0817333333015442,0.28837951590220134,0.9234999995231629,0.07650000047683714,0.2728246416091919,0.0834999994277954,0.07650000047683714
19,TrialState.COMPLETE,0.0293999999046326,2019-02-19 06:07:38.130054,2019-02-19 06:07:42.013349,relu,32,5,1,2019-02-19 06:07:40.532193,2019-02-19 06:07:41.968246,val_error,19,0.9595166666666667,0.040483333333333316,0.14647505611578623,0.9706000000953674,0.0293999999046326,0.10415704917907714,0.05279999952316283,0.0293999999046326
20,TrialState.COMPLETE,0.0817999992370605,2019-02-19 06:07:42.033457,2019-02-19 06:07:44.524588,linear,64,5,2,2019-02-19 06:07:43.584708,2019-02-19 06:07:44.484535,val_error,20,0.9128666666984558,0.08713333330154416,0.3040648765087128,0.9182000007629395,0.0817999992370605,0.28353138456344606,0.08710000066757206,0.0817999992370605
21,TrialState.PRUNED,0.034000000381469775,2019-02-19 06:07:44.539797,2019-02-19 06:07:47.537789,relu,64,5,1,2019-02-19 06:07:44.916356,2019-02-19 06:07:47.439059,val_error,21,0.9033500000317891,0.09664999996821089,0.3489297454118729,0.9659999996185302,0.034000000381469775,0.1254620125770569,0.034000000381469775,
22,TrialState.PRUNED,0.08639999923706054,2019-02-19 06:07:47.543714,2019-02-19 06:07:49.082878,linear,64,5,2,2019-02-19 06:07:47.902745,2019-02-19 06:07:48.994811,val_error,22,0.8579666666984558,0.14203333330154422,0.5235459552288055,0.9136000007629395,0.08639999923706054,0.2946915415763855,0.08639999923706054,
