number,state,value,datetime_start,datetime_complete,activation,filters,kernel_size,strides,_Datetime_epoch_begin,_Datetime_epoch_end,_Trial_num,acc,loss,val_acc,val_loss,system_attrs__number
20,TrialState.COMPLETE,0.9740000001907348,2019-05-10 07:33:09.861621,2019-05-10 07:33:12.065296,relu,32,5,1,2019-05-10 07:33:11.129160,2019-05-10 07:33:11.911958,20,0.9646833333651225,0.12669043527841567,0.9740000001907348,0.09170472733974457,20
21,TrialState.COMPLETE,0.9750000003814697,2019-05-10 07:33:12.067900,2019-05-10 07:33:14.263081,relu,32,5,1,2019-05-10 07:33:13.332470,2019-05-10 07:33:14.112356,21,0.9649999999682108,0.12814838169415793,0.9750000003814697,0.08775555038452149,21
22,TrialState.COMPLETE,0.9735000003814698,2019-05-10 07:33:14.265797,2019-05-10 07:33:16.462492,relu,32,5,1,2019-05-10 07:33:15.531894,2019-05-10 07:33:16.312013,22,0.96455,0.12659765431483586,0.9735000003814698,0.09080886068344116,22
23,TrialState.COMPLETE,0.9736000004768371,2019-05-10 07:33:16.465327,2019-05-10 07:33:18.672424,relu,32,5,1,2019-05-10 07:33:17.740514,2019-05-10 07:33:18.522037,23,0.9674000000317892,0.11669007013440132,0.9736000004768371,0.09087058653831481,23
24,TrialState.COMPLETE,0.9740000001907348,2019-05-10 07:33:18.675367,2019-05-10 07:33:20.871213,relu,32,5,1,2019-05-10 07:33:19.940348,2019-05-10 07:33:20.717601,24,0.9626333333651225,0.13324982806841532,0.9740000001907348,0.09291160006523132,24
25,TrialState.COMPLETE,0.9178999992370606,2019-05-10 07:33:20.874244,2019-05-10 07:33:23.583384,linear,64,5,1,2019-05-10 07:33:22.435232,2019-05-10 07:33:23.425748,25,0.91625,0.29705592142740883,0.9178999992370606,0.2956316163063049,25
26,TrialState.COMPLETE,0.9694000000953674,2019-05-10 07:33:23.586556,2019-05-10 07:33:25.790505,relu,32,5,1,2019-05-10 07:33:24.859366,2019-05-10 07:33:25.637749,26,0.9549666666984558,0.15961498159567514,0.9694000000953674,0.11409957911968231,26
27,TrialState.COMPLETE,0.9737000003814698,2019-05-10 07:33:25.793769,2019-05-10 07:33:28.005389,relu,32,5,1,2019-05-10 07:33:27.065549,2019-05-10 07:33:27.852031,27,0.9651833333651225,0.12614196954568227,0.9737000003814698,0.09043378620147705,27
28,TrialState.COMPLETE,0.978800000667572,2019-05-10 07:33:28.008791,2019-05-10 07:33:31.071544,relu,64,5,1,2019-05-10 07:33:29.714544,2019-05-10 07:33:30.910805,28,0.9717,0.10224867135286331,0.978800000667572,0.07224073431491852,28
29,TrialState.COMPLETE,0.920799999332428,2019-05-10 07:33:31.075279,2019-05-10 07:33:33.712824,linear,64,5,1,2019-05-10 07:33:32.571533,2019-05-10 07:33:33.555303,29,0.9169499999682108,0.29542653827667237,0.920799999332428,0.27998801922798155,29
30,TrialState.COMPLETE,0.9674999998092652,2019-05-10 07:33:33.716455,2019-05-10 07:33:35.498165,relu,64,5,2,2019-05-10 07:33:34.782075,2019-05-10 07:33:35.349334,30,0.9507666666984558,0.17382895534038545,0.9674999998092652,0.1239211210012436,30
31,TrialState.COMPLETE,0.9208999993324279,2019-05-10 07:33:35.501948,2019-05-10 07:33:38.136682,linear,64,5,1,2019-05-10 07:33:36.992556,2019-05-10 07:33:37.978446,31,0.9157833333333333,0.2971713405609131,0.9208999993324279,0.2910081416130066,31
32,TrialState.COMPLETE,0.9757000003814698,2019-05-10 07:33:38.140606,2019-05-10 07:33:41.197955,relu,64,5,1,2019-05-10 07:33:39.847942,2019-05-10 07:33:41.040629,32,0.9703499999682108,0.10679316662748654,0.9757000003814698,0.07988766345977784,32
