epoch,_Datetime_epoch_begin,_Datetime_epoch_end,_Trial_num,acc,loss,val_acc,val_loss
0,2019-05-10 04:19:42.523005,2019-05-10 04:19:43.591659,0,0.8779,0.44288148878415423,0.9200999994277954,0.2864150909900665
1,2019-05-10 04:19:43.648491,2019-05-10 04:19:44.440806,0,0.9175333333015442,0.29005808016459145,0.920299999332428,0.27812579770088197
0,2019-05-10 04:19:44.887616,2019-05-10 04:19:45.892648,1,0.8925166666348775,0.411394033964475,0.9526000004768371,0.17462903962135315
1,2019-05-10 04:19:45.942676,2019-05-10 04:19:46.767500,1,0.9635333333651225,0.13105445454518,0.9753000003814697,0.09391314513683319
0,2019-05-10 04:19:47.206807,2019-05-10 04:19:48.810846,2,0.8952499999682109,0.3897160342057546,0.9545999995231629,0.16307003526687622
1,2019-05-10 04:19:48.866225,2019-05-10 04:19:50.275946,2,0.9639166666666666,0.12976703294912975,0.9730000004768372,0.09512007229328155
0,2019-05-10 04:19:50.711679,2019-05-10 04:19:52.155976,3,0.90335,0.34829100661675133,0.9623999996185303,0.13624945082664489
1,2019-05-10 04:19:52.213039,2019-05-10 04:19:53.455222,3,0.9701166666984559,0.10600946427186331,0.9789000005722046,0.07454753894805909
0,2019-05-10 04:19:53.888461,2019-05-10 04:19:55.257753,4,0.8817666666348776,0.413616203045845,0.9165999995231628,0.2886344068527222
1,2019-05-10 04:19:55.311532,2019-05-10 04:19:56.464058,4,0.9179666666666667,0.29010065008799235,0.920099999332428,0.2801971245765686
0,2019-05-10 04:19:56.900678,2019-05-10 04:19:58.500785,5,0.8926000000317892,0.3932284937500954,0.9505999994277954,0.18162014017105102
0,2019-05-10 04:19:58.955048,2019-05-10 04:19:59.874789,6,0.8782166666666666,0.4317777387777964,0.9167999994277954,0.2939936264038086
1,2019-05-10 04:19:59.925384,2019-05-10 04:20:00.635279,6,0.9153166666984558,0.29822197783788046,0.9231999995231629,0.27671708006858825
0,2019-05-10 04:20:01.067841,2019-05-10 04:20:02.080797,7,0.8852500000317891,0.4236857208967209,0.953900000667572,0.16445156388282775
0,2019-05-10 04:20:02.545184,2019-05-10 04:20:03.619111,8,0.8838333333651225,0.43981230052312215,0.9447000004768371,0.19888392987251283
1,2019-05-10 04:20:03.671912,2019-05-10 04:20:04.555842,8,0.9538833333333333,0.16529693659146627,0.9659999999046326,0.1257678473711014
0,2019-05-10 04:20:04.998485,2019-05-10 04:20:06.604917,9,0.8940333333333333,0.3909480799913406,0.9509000007629395,0.17078880662918092
0,2019-05-10 04:20:07.061630,2019-05-10 04:20:07.959327,10,0.8769333333651225,0.43361019871234896,0.9179999993324279,0.2925186465263367
0,2019-05-10 04:20:08.424810,2019-05-10 04:20:10.035252,11,0.8927499999682108,0.3963426685412725,0.9482000003814697,0.18662063550949096
0,2019-05-10 04:20:10.514851,2019-05-10 04:20:11.473697,12,0.8760500000317891,0.4465866474072138,0.9174999994277954,0.2881652448654175
0,2019-05-10 04:20:11.943407,2019-05-10 04:20:13.175740,13,0.8826833333333334,0.414201810057958,0.9141999996185303,0.29949342927932737
1,2019-05-10 04:20:13.229282,2019-05-10 04:20:14.259761,13,0.9161333333015442,0.2935950547218323,0.9225999994277954,0.28381368179321287
