epoch,_Datetime_epoch_begin,_Datetime_epoch_end,_Trial_num,acc,loss,val_acc,val_loss
0,2019-05-10 07:32:28.812548,2019-05-10 07:32:29.642939,0,0.8587833333333333,0.5321197805563609,0.9315000000953675,0.2325147186756134
1,2019-05-10 07:32:29.699403,2019-05-10 07:32:30.322589,0,0.9460999999682108,0.19161555195649466,0.9622999998092652,0.1412955320596695
0,2019-05-10 07:32:30.764731,2019-05-10 07:32:31.711724,1,0.8766999999682109,0.4381883567651113,0.9178999993324279,0.28912883358001706
1,2019-05-10 07:32:31.764485,2019-05-10 07:32:32.542477,1,0.9185166666348775,0.2881767072041829,0.9217999994277954,0.280231893157959
0,2019-05-10 07:32:32.995046,2019-05-10 07:32:33.923354,2,0.8781500000317891,0.4356109763701757,0.9154000000953675,0.2973317664146423
1,2019-05-10 07:32:33.977338,2019-05-10 07:32:34.699587,2,0.9152,0.29836474831899007,0.9190000005722045,0.28074784526824953
0,2019-05-10 07:32:35.160280,2019-05-10 07:32:35.943570,3,0.8622333333333333,0.5374486769517263,0.9339999997138977,0.23431616101264954
1,2019-05-10 07:32:35.994912,2019-05-10 07:32:36.608068,3,0.9467000000317891,0.19146286454995473,0.9626999997138977,0.1348389750480652
0,2019-05-10 07:32:37.061650,2019-05-10 07:32:37.792194,4,0.8437333333015442,0.6322269456863403,0.9080000007629394,0.32277714014053344
1,2019-05-10 07:32:37.843483,2019-05-10 07:32:38.390899,4,0.91045,0.312714085316658,0.9183999994277954,0.28847667307853697
0,2019-05-10 07:32:38.849939,2019-05-10 07:32:39.660707,5,0.8514833333333334,0.5886279555161794,0.9209999996185303,0.28089709777832034
1,2019-05-10 07:32:39.707064,2019-05-10 07:32:40.328455,5,0.9280166666348775,0.25610253609021505,0.9411000001907348,0.2101450632572174
0,2019-05-10 07:32:40.737598,2019-05-10 07:32:41.516622,6,0.8484333333015441,0.6146170649846395,0.9233999994277954,0.2743866741657257
1,2019-05-10 07:32:41.563128,2019-05-10 07:32:42.174100,6,0.9323499999682109,0.24207608477274578,0.9455000003814698,0.19712468299865724
