epoch,_Datetime_epoch_begin,_Datetime_epoch_end,_Monitor,_Trial_id,acc,error,loss,val_acc,val_error,val_loss
0,2019-02-24 09:32:26.097006,2019-02-24 09:32:27.135718,val_error,0,0.8398499999682109,0.16015000003178914,0.6666249738852184,0.914499999332428,0.08550000066757202,0.30115256185531614
1,2019-02-24 09:32:27.221312,2019-02-24 09:32:28.031289,val_error,0,0.9198833333651225,0.08011666663487749,0.283190048400561,0.9323000003814698,0.06769999961853024,0.24559583868980409
0,2019-02-24 09:32:28.579066,2019-02-24 09:32:29.850456,val_error,1,0.8623499999682108,0.13765000003178918,0.5301815979321798,0.9310999995231628,0.0689000004768372,0.23708567085266113
1,2019-02-24 09:32:29.931369,2019-02-24 09:32:30.911771,val_error,1,0.9436166666666667,0.05638333333333334,0.1964943788409233,0.9595999992370605,0.04040000076293948,0.14345545744895935
0,2019-02-24 09:32:31.303764,2019-02-24 09:32:32.481537,val_error,2,0.8518666666984558,0.1481333333015442,0.6059751671950022,0.9189000007629394,0.08109999923706057,0.2812296814918518
1,2019-02-24 09:32:32.551165,2019-02-24 09:32:33.542157,val_error,2,0.9323833333015442,0.06761666669845579,0.24088758479356764,0.9443000001907349,0.0556999998092651,0.1940871373653412
0,2019-02-24 09:32:33.933421,2019-02-24 09:32:36.717053,val_error,3,0.8958833333015442,0.10411666669845576,0.3878231644074122,0.9546000007629395,0.04539999923706051,0.1654390224456787
1,2019-02-24 09:32:36.795172,2019-02-24 09:32:39.337284,val_error,3,0.9632500000317892,0.03674999996821082,0.1303302346110344,0.9707000004768371,0.029299999523162867,0.09900635697841645
0,2019-02-24 09:32:39.743082,2019-02-24 09:32:41.204524,val_error,4,0.8779999999682109,0.12200000003178912,0.4343090834458669,0.9167000006675721,0.08329999933242793,0.291646094417572
1,2019-02-24 09:32:41.274789,2019-02-24 09:32:42.529991,val_error,4,0.9160833333651225,0.08391666663487751,0.2975625731150309,0.9218999993324279,0.07810000066757206,0.27750796937942507
0,2019-02-24 09:32:43.105976,2019-02-24 09:32:44.219511,val_error,5,0.85615,0.14385000000000003,0.5448542201042176,0.9154999994277954,0.08450000057220464,0.29735088834762574
1,2019-02-24 09:32:44.291939,2019-02-24 09:32:45.203005,val_error,5,0.9133833333651225,0.08661666663487755,0.3035285189151764,0.9180999996185303,0.08190000038146972,0.28402389616966245
0,2019-02-24 09:32:45.605056,2019-02-24 09:32:46.526765,val_error,6,0.8426166666666667,0.15738333333333332,0.6300376095930735,0.9106999992370606,0.08930000076293942,0.31714218015670775
1,2019-02-24 09:32:46.596936,2019-02-24 09:32:47.315503,val_error,6,0.9104666666984558,0.08953333330154423,0.3124800059000651,0.9187000007629395,0.08129999923706055,0.2843388783454895
0,2019-02-24 09:32:47.725989,2019-02-24 09:32:48.775050,val_error,7,0.8596333333015442,0.14036666669845577,0.5185346463839213,0.9080000003814698,0.09199999961853023,0.31628532009124755
1,2019-02-24 09:32:48.845082,2019-02-24 09:32:49.717298,val_error,7,0.913,0.08699999999999997,0.306407497994105,0.9162000002861023,0.08379999971389773,0.29127186641693115
0,2019-02-24 09:32:50.111355,2019-02-24 09:32:52.312290,val_error,8,0.8825166666666666,0.11748333333333338,0.41377442196210223,0.917200000667572,0.08279999933242799,0.2910230374336243
1,2019-02-24 09:32:52.392664,2019-02-24 09:32:54.345402,val_error,8,0.9168166666666666,0.08318333333333339,0.29313180481592815,0.9191999992370605,0.08080000076293947,0.2856852692604065
0,2019-02-24 09:32:54.952777,2019-02-24 09:32:55.856434,val_error,9,0.84655,0.15344999999999998,0.5812329198678334,0.9089000000953674,0.09109999990463258,0.32049285011291506
1,2019-02-24 09:32:55.927320,2019-02-24 09:32:56.624284,val_error,9,0.9096333333651225,0.09036666663487747,0.31344051438967385,0.9196999992370606,0.08030000076293942,0.2832115896701813
0,2019-02-24 09:32:57.035458,2019-02-24 09:32:59.815686,val_error,10,0.8922833333015442,0.10771666669845581,0.38682461614608765,0.9543999992370605,0.04560000076293946,0.16860581936836241
1,2019-02-24 09:32:59.902131,2019-02-24 09:33:02.449198,val_error,10,0.9633833333651225,0.036616666634877504,0.13284841661055882,0.9711000006675721,0.028899999332427928,0.09860889463424682
0,2019-02-24 09:33:02.870392,2019-02-24 09:33:05.598866,val_error,11,0.8918833333015442,0.10811666669845577,0.40475406994024915,0.9485000007629395,0.0514999992370605,0.18345313835144042
1,2019-02-24 09:33:05.680941,2019-02-24 09:33:08.207601,val_error,11,0.9618,0.03820000000000001,0.1386156980593999,0.9726000003814698,0.027399999618530235,0.10027480444908142
0,2019-02-24 09:33:08.618306,2019-02-24 09:33:11.349793,val_error,12,0.8963999999682108,0.10360000003178915,0.39839822144508363,0.9559999994277955,0.044000000572204545,0.15885757422447205
1,2019-02-24 09:33:11.433692,2019-02-24 09:33:14.009230,val_error,12,0.9665999999682109,0.03340000003178911,0.12012964364886283,0.974400000667572,0.02559999933242796,0.09214822430610657
0,2019-02-24 09:33:14.474837,2019-02-24 09:33:17.270660,val_error,13,0.8967,0.10329999999999995,0.3903192636410395,0.9530000005722046,0.046999999427795425,0.1683314516544342
1,2019-02-24 09:33:17.364800,2019-02-24 09:33:19.901432,val_error,13,0.9634666666666667,0.03653333333333331,0.131106141324838,0.9708000005722046,0.029199999427795387,0.10029844794273376
0,2019-02-24 09:33:20.524052,2019-02-24 09:33:23.260784,val_error,14,0.8936500000317892,0.10634999996821082,0.39266314144134523,0.947400000667572,0.05259999933242798,0.1833723090171814
