epoch,_Datetime_epoch_begin,_Datetime_epoch_end,_Monitor,_Trial_id,acc,error,loss,val_acc,val_error,val_loss
0,2019-03-08 06:13:34.062783,2019-03-08 06:13:35.299710,val_error,0,0.8584166666984558,0.14158333330154416,0.5232116246382396,0.9136000007629395,0.08639999923706054,0.30247371749877927
1,2019-03-08 06:13:35.388415,2019-03-08 06:13:36.381127,val_error,0,0.9122833333651225,0.08771666663487754,0.30471481579939524,0.9218000007629394,0.07819999923706056,0.2863016672134399
0,2019-03-08 06:13:36.784408,2019-03-08 06:13:38.562796,val_error,1,0.8879666666666667,0.11203333333333332,0.41699747405052184,0.950699999332428,0.04930000066757201,0.17014385557174683
1,2019-03-08 06:13:38.669488,2019-03-08 06:13:40.239715,val_error,1,0.9638333333333333,0.03616666666666668,0.1295550797700882,0.9748000004768371,0.025199999523162875,0.09008106484413148
0,2019-03-08 06:13:40.654883,2019-03-08 06:13:41.991941,val_error,2,0.8553500000317892,0.14464999996821082,0.5550137405554454,0.9111999996185303,0.08880000038146973,0.306256822681427
1,2019-03-08 06:13:42.075063,2019-03-08 06:13:43.160433,val_error,2,0.9130666666984558,0.08693333330154418,0.3035901440938314,0.9177000005722046,0.08229999942779542,0.28112359561920164
0,2019-03-08 06:13:43.604265,2019-03-08 06:13:45.064574,val_error,3,0.8551333333333333,0.1448666666666667,0.6070112925211588,0.922900000667572,0.07709999933242795,0.27480827064514163
1,2019-03-08 06:13:45.151986,2019-03-08 06:13:46.382266,val_error,3,0.9304833333651225,0.06951666663487754,0.24573370696703592,0.946600000667572,0.053399999332428005,0.19245778074264527
0,2019-03-08 06:13:47.037528,2019-03-08 06:13:48.454255,val_error,4,0.8547833333333333,0.14521666666666666,0.607744055612882,0.921399999332428,0.078600000667572,0.2759045206069946
0,2019-03-08 06:13:48.903706,2019-03-08 06:13:50.134912,val_error,5,0.8629666666348775,0.13703333336512247,0.5217606289466222,0.9140999992370605,0.08590000076293947,0.30489403343200683
0,2019-03-08 06:13:50.573685,2019-03-08 06:13:53.175590,val_error,6,0.9007333333015441,0.09926666669845585,0.35614868027766544,0.9615999994277954,0.03840000057220461,0.14243267955780028
1,2019-03-08 06:13:53.272539,2019-03-08 06:13:55.623043,val_error,6,0.9706166666666667,0.029383333333333317,0.10719175750017167,0.9787000007629395,0.021299999237060496,0.07809966106414795
0,2019-03-08 06:13:56.033850,2019-03-08 06:13:57.407006,val_error,7,0.8514666666348776,0.14853333336512242,0.6013088160037995,0.919100000667572,0.08089999933242797,0.2811557836532593
0,2019-03-08 06:13:58.111347,2019-03-08 06:13:59.845051,val_error,8,0.8882666666984558,0.11173333330154422,0.4109012140989304,0.9511999993324279,0.04880000066757206,0.17387585439682007
0,2019-03-08 06:14:00.312922,2019-03-08 06:14:01.629879,val_error,9,0.8468166666666667,0.15318333333333334,0.621189605140686,0.9243999997138977,0.07560000028610225,0.268714710187912
0,2019-03-08 06:14:02.107639,2019-03-08 06:14:03.386950,val_error,10,0.8553666666666667,0.14463333333333328,0.5474296375274659,0.9108999994277954,0.08910000057220457,0.3079749422073364
0,2019-03-08 06:14:04.042176,2019-03-08 06:14:05.095271,val_error,11,0.8430999999682108,0.15690000003178917,0.61546705438296,0.9255999999046326,0.0744000000953674,0.2669816378116608
1,2019-03-08 06:14:05.165398,2019-03-08 06:14:05.955721,val_error,11,0.9342499999682109,0.0657500000317891,0.23122804760932922,0.9516000007629395,0.04839999923706051,0.17277683916091918
0,2019-03-08 06:14:06.368839,2019-03-08 06:14:07.409156,val_error,12,0.8351166666984559,0.16488333330154414,0.6587146687825521,0.9106999992370606,0.08930000076293942,0.3163742786407471
1,2019-03-08 06:14:07.517270,2019-03-08 06:14:08.354248,val_error,12,0.9103333333015442,0.0896666666984558,0.31245839575131734,0.9165999992370606,0.08340000076293941,0.29387644910812377
0,2019-03-08 06:14:08.783552,2019-03-08 06:14:09.828392,val_error,13,0.8412000000317892,0.15879999996821081,0.6420018131256103,0.9063000005722046,0.09369999942779539,0.3237426114082336
0,2019-03-08 06:14:10.271596,2019-03-08 06:14:12.201956,val_error,14,0.8807333333651225,0.1192666666348775,0.4506635586420695,0.9388000001907348,0.06119999980926516,0.21395647048950195
1,2019-03-08 06:14:12.272194,2019-03-08 06:14:13.918225,val_error,14,0.9495833333333333,0.050416666666666665,0.1780905808766683,0.9622999997138977,0.03770000028610232,0.13776227493286133
0,2019-03-08 06:14:14.334601,2019-03-08 06:14:15.577173,val_error,15,0.8697666666348776,0.13023333336512244,0.5353693980455398,0.9382000003814698,0.06179999961853022,0.22005193099975587
1,2019-03-08 06:14:15.650533,2019-03-08 06:14:16.637483,val_error,15,0.9486666666666667,0.05133333333333334,0.1829638739824295,0.9649999995231628,0.035000000476837156,0.13124253945350647
0,2019-03-08 06:14:17.331485,2019-03-08 06:14:19.187146,val_error,16,0.8823666666984558,0.11763333330154424,0.4299487897793452,0.944799999332428,0.055200000667572025,0.19958126406669616
0,2019-03-08 06:14:19.622943,2019-03-08 06:14:20.657086,val_error,17,0.8344166666666667,0.1655833333333333,0.692137710460027,0.915399999332428,0.084600000667572,0.2986004862785339
1,2019-03-08 06:14:20.736911,2019-03-08 06:14:21.544942,val_error,17,0.92255,0.07745000000000002,0.27440084042549134,0.9319000001907348,0.06809999980926518,0.23162417135238647
0,2019-03-08 06:14:21.956840,2019-03-08 06:14:23.181857,val_error,18,0.8648333333015442,0.13516666669845578,0.5382748538613319,0.9356000003814697,0.06439999961853027,0.22992409977912903
