epoch,_Datetime_epoch_begin,_Datetime_epoch_end,_Monitor,_Trial_id,acc,error,loss,val_acc,val_error,val_loss
0,2019-03-08 06:16:14.218242,2019-03-08 06:16:31.262600,val_error,1,0.8843816773504274,0.11561832264957261,0.372716655397517,0.9633,0.036699999999999955,0.12092814180850983
1,2019-03-08 06:16:31.968925,2019-03-08 06:16:47.388990,val_error,1,0.9481286823781467,0.05187131762185326,0.1713513161210881,0.9672,0.03280000000000005,0.10306469540596008
2,2019-03-08 06:16:47.636504,2019-03-08 06:17:03.477361,val_error,1,0.9586234601283368,0.04137653987166323,0.1356475522844435,0.978,0.02200000000000002,0.06716938695525751
3,2019-03-08 06:17:03.736986,2019-03-08 06:17:19.592858,val_error,1,0.9647495982860204,0.03525040171397964,0.11637576045712879,0.9801,0.01990000000000003,0.0640652731217444
4,2019-03-08 06:17:19.817364,2019-03-08 06:17:35.574914,val_error,1,0.9663397160901956,0.033660283909804356,0.1089041175916352,0.9813,0.01870000000000005,0.05716741986265406
5,2019-03-08 06:17:35.830520,2019-03-08 06:17:51.585696,val_error,1,0.970172737011248,0.029827262988752046,0.09492574064694564,0.984,0.016000000000000014,0.05241573278456926
6,2019-03-08 06:17:51.796621,2019-03-08 06:18:07.522772,val_error,1,0.9720976164651287,0.02790238353487129,0.08894542342098755,0.9848,0.015199999999999991,0.05075347011149861
7,2019-03-08 06:18:07.757425,2019-03-08 06:18:23.407098,val_error,1,0.9725997589716122,0.027400241028387784,0.08637057336164018,0.9852,0.014800000000000035,0.04260551607776433
8,2019-03-08 06:18:23.632387,2019-03-08 06:18:39.296373,val_error,1,0.9758971611892852,0.024102838810714844,0.07701015817205983,0.984,0.016000000000000014,0.049936747208610174
9,2019-03-08 06:18:39.446163,2019-03-08 06:18:55.211331,val_error,1,0.9774705410067512,0.022529458993248763,0.07103190705156225,0.9859,0.014100000000000001,0.04555623536650091
0,2019-03-08 06:18:56.765892,2019-03-08 06:19:12.990055,val_error,2,0.8994557959401709,0.10054420405982911,0.3258808708916872,0.968,0.03200000000000003,0.10373242186754941
1,2019-03-08 06:19:13.582227,2019-03-08 06:19:28.671284,val_error,2,0.9528822977720383,0.047117702227961744,0.15491850456261802,0.9761,0.023900000000000032,0.07478145463615656
2,2019-03-08 06:19:29.220435,2019-03-08 06:19:44.659630,val_error,2,0.9623225762937307,0.03767742370626925,0.12070835326275982,0.9791,0.02090000000000003,0.06367189285550266
3,2019-03-08 06:19:44.895931,2019-03-08 06:20:00.455935,val_error,2,0.9677791912158543,0.03222080878414568,0.10436731222747607,0.9817,0.018299999999999983,0.055082243453897534
4,2019-03-08 06:20:00.705671,2019-03-08 06:20:16.223436,val_error,2,0.9713109266521718,0.02868907334782822,0.09451153529603404,0.9846,0.01539999999999997,0.049594185018911954
5,2019-03-08 06:20:16.520045,2019-03-08 06:20:31.959877,val_error,2,0.9732358060741272,0.026764193925872815,0.08505727952305302,0.9803,0.01970000000000005,0.06179788947403431
6,2019-03-08 06:20:32.108225,2019-03-08 06:20:47.618946,val_error,2,0.9760645420460632,0.023935457953936812,0.07808615183273164,0.9839,0.016100000000000003,0.0464660885325633
7,2019-03-08 06:20:47.769799,2019-03-08 06:21:03.171695,val_error,2,0.9782070165722525,0.021792983427747492,0.07028480652913284,0.985,0.015000000000000013,0.04642330295443535
8,2019-03-08 06:21:03.436048,2019-03-08 06:21:19.462558,val_error,2,0.9792782538513097,0.020721746148690268,0.06873417238245434,0.984,0.016000000000000014,0.04844514730991795
9,2019-03-08 06:21:19.607064,2019-03-08 06:21:35.039561,val_error,2,0.9787258971292958,0.021274102870704192,0.06737725945497874,0.9864,0.013599999999999945,0.03948235119916499
