trial_id,state,value,datetime_start,datetime_complete,activation,filters,kernel_size,strides,_Datetime_epoch_begin,_Datetime_epoch_end,_Monitor,_Trial_id,acc,error,loss,val_acc,val_error,val_loss,intermediate_values_0,intermediate_values_1
10,TrialState.COMPLETE,0.05529999952316289,2019-02-24 09:33:58.583338,2019-02-24 09:34:01.296323,relu,64,3,2,2019-02-24 09:34:00.242062,2019-02-24 09:34:01.256621,val_error,10,0.9325333333015442,0.0674666666984558,0.23990938302675882,0.9447000004768371,0.05529999952316289,0.1909781035423279,0.07640000047683715,0.05529999952316289
11,TrialState.COMPLETE,0.02089999923706054,2019-02-24 09:34:01.306090,2019-02-24 09:34:06.761639,relu,64,5,1,2019-02-24 09:34:04.474798,2019-02-24 09:34:06.713313,val_error,11,0.97325,0.02675000000000005,0.09904617474079132,0.9791000007629395,0.02089999923706054,0.06815780081748962,0.03750000038146972,0.02089999923706054
12,TrialState.PRUNED,0.047300000476837134,2019-02-24 09:34:06.769026,2019-02-24 09:34:09.985783,relu,64,3,1,2019-02-24 09:34:07.135858,2019-02-24 09:34:09.894786,val_error,12,0.8932333333651225,0.10676666663487755,0.40615046075979866,0.9526999995231629,0.047300000476837134,0.1694271999359131,0.047300000476837134,
13,TrialState.PRUNED,0.08940000047683716,2019-02-24 09:34:09.988644,2019-02-24 09:34:11.329425,linear,32,5,2,2019-02-24 09:34:10.344519,2019-02-24 09:34:11.248199,val_error,13,0.8469166666984558,0.15308333330154422,0.587828684314092,0.9105999995231628,0.08940000047683716,0.3149797958374023,0.08940000047683716,
14,TrialState.PRUNED,0.08380000066757198,2019-02-24 09:34:11.332124,2019-02-24 09:34:12.956877,relu,32,3,2,2019-02-24 09:34:11.692365,2019-02-24 09:34:12.879404,val_error,14,0.8315666666984558,0.1684333333015442,0.729590675163269,0.916199999332428,0.08380000066757198,0.30305638160705567,0.08380000066757198,
15,TrialState.PRUNED,0.045799999427795446,2019-02-24 09:34:12.959260,2019-02-24 09:34:14.997443,relu,32,5,1,2019-02-24 09:34:13.312132,2019-02-24 09:34:14.916458,val_error,15,0.8963333333333333,0.10366666666666668,0.39534739991029105,0.9542000005722046,0.045799999427795446,0.1653361077785492,0.045799999427795446,
16,TrialState.COMPLETE,0.04879999933242796,2019-02-24 09:34:15.000509,2019-02-24 09:34:17.181979,relu,32,5,2,2019-02-24 09:34:16.405128,2019-02-24 09:34:17.144882,val_error,16,0.9339333333015442,0.06606666669845584,0.23434396653175354,0.951200000667572,0.04879999933242796,0.17943240003585814,0.07420000047683717,0.04879999933242796
17,TrialState.PRUNED,0.0566999998092651,2019-02-24 09:34:17.190355,2019-02-24 09:34:19.363740,relu,32,3,1,2019-02-24 09:34:17.573426,2019-02-24 09:34:19.282699,val_error,17,0.8858500000317892,0.11414999996821085,0.4538505378405253,0.9433000001907349,0.0566999998092651,0.1980120384693146,0.0566999998092651,
18,TrialState.PRUNED,0.07870000019073486,2019-02-24 09:34:19.366463,2019-02-24 09:34:22.463358,linear,64,3,1,2019-02-24 09:34:19.907713,2019-02-24 09:34:22.370164,val_error,18,0.8832666666348775,0.11673333336512248,0.41776035650571186,0.9212999998092651,0.07870000019073486,0.28771019611358645,0.07870000019073486,
19,TrialState.COMPLETE,0.08259999923706052,2019-02-24 09:34:22.466626,2019-02-24 09:34:25.691979,linear,32,5,1,2019-02-24 09:34:24.392651,2019-02-24 09:34:25.644313,val_error,19,0.9158499999682108,0.08415000003178918,0.29610734372138975,0.9174000007629395,0.08259999923706052,0.2853933708190918,0.08380000066757198,0.08259999923706052
