trial_id,state,value,datetime_start,datetime_complete,Batch_size,Conv,Conv_1_dropout_rate,Conv_1_kernel_size,Conv_1_max_pooling_size,Conv_1_num_filters,Data_augmentation,FC_1_acivation,FC_1_batch_normalization,FC_1_dropout_rate,FC_1_num_hidden_units,FC_2_acivation,FC_2_batch_normalization,FC_2_dropout_rate,FC_2_num_hidden_units,Optimizer,_Datetime_epoch_begin,_Datetime_epoch_end,_Monitor,_Trial_id,acc,error,loss,val_acc,val_error,val_loss,system_attrs_completed_rung_0,system_attrs_completed_rung_1,intermediate_values_0,intermediate_values_1,intermediate_values_2,intermediate_values_3,intermediate_values_4,intermediate_values_5,intermediate_values_6,intermediate_values_7,intermediate_values_8,intermediate_values_9
12,TrialState.COMPLETE,0.011800000000000033,2019-02-24 09:39:35.856684,2019-02-24 09:40:12.015957,256,1,0.0,3.0,3.0,32.0,0,relu,1,0.5,256.0,relu,1,0.25,256.0,Adam,2019-02-24 09:40:08.843444,2019-02-24 09:40:11.672966,val_error,12,0.9937000000317892,0.006299999968210845,0.019422280172506967,0.9882,0.011800000000000033,0.03852504439323675,0.015199999999999991,0.011900000000000022,0.028000000000000025,0.015199999999999991,0.013000000000000012,0.013900000000000023,0.011900000000000022,0.010499999999999954,0.011399999999999966,0.009800000000000031,0.009800000000000031,0.011800000000000033
13,TrialState.PRUNED,0.01419999999999999,2019-02-24 09:40:12.280351,2019-02-24 09:40:31.177747,256,1,0.0,3.0,2.0,32.0,0,relu,1,0.0,256.0,relu,0,0.0,256.0,Adam,2019-02-24 09:40:27.980244,2019-02-24 09:40:30.798191,val_error,13,0.9982166666348775,0.0017833333651224859,0.005962956122929851,0.9858,0.01419999999999999,0.04893505362567958,0.013299999999999979,0.01419999999999999,0.026499999999999968,0.013299999999999979,0.016199999999999992,0.015700000000000047,0.01419999999999999,,,,,
14,TrialState.PRUNED,0.016700000000000048,2019-02-24 09:40:31.203653,2019-02-24 09:40:41.962173,256,1,0.0,2.0,3.0,32.0,0,relu,1,0.0,512.0,relu,1,0.0,256.0,Adam,2019-02-24 09:40:38.357552,2019-02-24 09:40:41.435990,val_error,14,0.9879999999682109,0.012000000031789138,0.03904066584308942,0.9833,0.016700000000000048,0.05223503525443375,0.016700000000000048,,0.020499999999999963,0.016700000000000048,,,,,,,,
15,TrialState.PRUNED,0.016599999999999948,2019-02-24 09:40:41.990605,2019-02-24 09:41:20.942783,256,1,0.25,2.0,2.0,32.0,1,relu,0,0.5,256.0,relu,1,0.25,256.0,Adam,2019-02-24 09:41:03.031021,2019-02-24 09:41:19.725549,val_error,15,0.9458523031920754,0.05414769680792464,0.17640374509101892,0.9834,0.016599999999999948,0.05110698717497289,0.016599999999999948,,0.0242,0.016599999999999948,,,,,,,,
16,TrialState.PRUNED,0.028800000000000048,2019-02-24 09:41:20.970303,2019-02-24 09:41:27.789412,256,0,,,,,0,relu,0,0.25,512.0,relu,1,0.5,256.0,Adam,2019-02-24 09:41:25.544668,2019-02-24 09:41:27.310743,val_error,16,0.9570999999682108,0.042900000031789176,0.14306648834149044,0.9712,0.028800000000000048,0.08872690074890852,0.028800000000000048,,0.036900000000000044,0.028800000000000048,,,,,,,,
17,TrialState.PRUNED,0.014000000000000012,2019-02-24 09:41:27.816082,2019-02-24 09:43:06.421401,256,1,0.25,2.0,3.0,64.0,1,relu,1,0.0,512.0,relu,1,0.5,512.0,Adam,2019-02-24 09:42:48.073752,2019-02-24 09:43:05.750619,val_error,17,0.982173942153187,0.017826057846813015,0.05576135968788461,0.986,0.014000000000000012,0.0435026217933977,0.015100000000000002,0.014000000000000012,0.022299999999999986,0.015100000000000002,0.012700000000000045,0.010499999999999954,0.014000000000000012,,,,,
18,TrialState.PRUNED,0.015800000000000036,2019-02-24 09:43:06.466811,2019-02-24 09:43:20.418018,256,1,0.0,3.0,2.0,64.0,0,relu,1,0.5,256.0,relu,1,0.5,512.0,Adam,2019-02-24 09:43:15.211244,2019-02-24 09:43:19.821524,val_error,18,0.9768499999682109,0.02315000003178913,0.07640029070774715,0.9842,0.015800000000000036,0.05232067531151697,0.015800000000000036,,0.028699999999999948,0.015800000000000036,,,,,,,,
19,TrialState.PRUNED,0.030399999999999983,2019-02-24 09:43:20.446784,2019-02-24 09:43:25.689254,256,0,,,,,0,relu,0,0.25,256.0,relu,0,0.0,256.0,Adam,2019-02-24 09:43:23.849872,2019-02-24 09:43:25.128364,val_error,19,0.9558999999682108,0.044100000031789155,0.14608423521518707,0.9696,0.030399999999999983,0.10188901259601116,0.030399999999999983,,0.046599999999999975,0.030399999999999983,,,,,,,,
20,TrialState.PRUNED,0.017900000000000027,2019-02-24 09:43:25.724207,2019-02-24 09:43:36.866465,256,1,0.5,3.0,2.0,32.0,0,relu,1,0.5,256.0,relu,0,0.5,512.0,Adam,2019-02-24 09:43:33.169792,2019-02-24 09:43:36.291490,val_error,20,0.9600333333333333,0.039966666666666706,0.12716158904234567,0.9821,0.017900000000000027,0.05331080363029614,0.017900000000000027,,0.025800000000000045,0.017900000000000027,,,,,,,,
21,TrialState.PRUNED,0.03539999999999999,2019-02-24 09:43:36.895182,2019-02-24 09:44:11.468656,256,0,,,,,1,relu,0,0.5,256.0,relu,0,0.0,256.0,Adam,2019-02-24 09:43:55.164673,2019-02-24 09:44:10.291679,val_error,21,0.9174310391001607,0.08256896089983934,0.2737462671606312,0.9646,0.03539999999999999,0.11027393243312836,0.03539999999999999,,0.04249999999999998,0.03539999999999999,,,,,,,,
22,TrialState.PRUNED,0.031000000000000028,2019-02-24 09:44:11.500377,2019-02-24 09:44:19.685849,256,0,,,,,0,relu,1,0.25,256.0,relu,1,0.25,256.0,Adam,2019-02-24 09:44:17.156010,2019-02-24 09:44:19.175438,val_error,22,0.9540833333333333,0.04591666666666672,0.15064408375422159,0.969,0.031000000000000028,0.09845587809607387,0.031000000000000028,,0.03979999999999995,0.031000000000000028,,,,,,,,
23,TrialState.PRUNED,0.03700000000000003,2019-02-24 09:44:19.715208,2019-02-24 09:44:25.254138,256,0,,,,,0,relu,0,0.5,256.0,relu,0,0.25,256.0,Adam,2019-02-24 09:44:23.497135,2019-02-24 09:44:24.754801,val_error,23,0.9372333333333334,0.06276666666666664,0.20980335499445596,0.963,0.03700000000000003,0.1207327857941389,0.03700000000000003,,0.05069999999999997,0.03700000000000003,,,,,,,,
24,TrialState.PRUNED,0.03149999999999997,2019-02-24 09:44:25.289811,2019-02-24 09:45:00.688242,256,0,,,,,1,relu,0,0.5,256.0,relu,0,0.25,512.0,Adam,2019-02-24 09:44:44.165801,2019-02-24 09:44:59.450431,val_error,24,0.9144516603858572,0.08554833961414277,0.2805665912127584,0.9685,0.03149999999999997,0.09921395768672228,0.03149999999999997,,0.04400000000000004,0.03149999999999997,,,,,,,,
25,TrialState.PRUNED,0.017900000000000027,2019-02-24 09:45:00.721059,2019-02-24 09:45:12.520694,256,1,0.5,2.0,2.0,32.0,0,relu,1,0.5,512.0,relu,0,0.0,256.0,Adam,2019-02-24 09:45:08.295260,2019-02-24 09:45:11.855076,val_error,25,0.9634166666666667,0.0365833333333333,0.11846194137334824,0.9821,0.017900000000000027,0.056315845737885686,0.017900000000000027,,0.027000000000000024,0.017900000000000027,,,,,,,,
26,TrialState.COMPLETE,0.008399999999999963,2019-02-24 09:45:12.556062,2019-02-24 09:48:22.300769,256,1,0.5,3.0,2.0,64.0,1,relu,0,0.25,512.0,relu,1,0.25,256.0,Adam,2019-02-24 09:48:03.942366,2019-02-24 09:48:21.514279,val_error,26,0.9875970808464892,0.012402919153510772,0.0389534889490418,0.9916,0.008399999999999963,0.025915006911417005,0.013000000000000012,0.008399999999999963,0.015800000000000036,0.013000000000000012,0.009800000000000031,0.008299999999999974,0.008399999999999963,0.009600000000000053,0.009499999999999953,0.008299999999999974,0.008099999999999996,0.008399999999999963
